used, total, date
2.73,5.43,1648427458773
2.76,5.43,1648427459025
3.2,5.48,1648427459039
3.2,5.48,1648427459275
3.21,5.48,1648427459278
3.21,5.48,1648427459531
3.03,7.98,1648427459553
3.04,7.98,1648427459776
3.59,7.98,1648427459792
3.6,7.98,1648427460026
4.15,7.98,1648427460043
4.16,7.98,1648427460276
2.71,7.98,1648427460293
2.72,7.98,1648427460526
3.27,7.98,1648427460545
3.28,7.98,1648427460776
3.83,7.98,1648427460796
3.84,7.98,1648427461026
4.39,7.98,1648427461045
4.39,7.98,1648427461277
2.95,7.98,1648427461290
2.95,7.98,1648427461528
3.51,7.98,1648427461545
3.51,7.98,1648427461779
4.06,7.98,1648427461795
4.07,7.98,1648427462029
4.62,7.98,1648427462048
4.63,7.98,1648427462279
3.18,7.98,1648427462297
3.19,7.98,1648427462530
3.74,7.98,1648427462548
3.75,7.98,1648427462780
4.33,7.98,1648427462798
4.33,7.98,1648427463030
2.89,7.98,1648427463047
2.9,7.98,1648427463280
3.45,7.98,1648427463297
3.45,7.98,1648427463530
4.01,7.98,1648427463548
4.01,7.98,1648427463780
4.56,7.98,1648427463797
4.57,7.98,1648427464030
3.12,7.98,1648427464048
3.13,7.98,1648427464281
3.71,7.98,1648427464294
3.72,7.98,1648427464531
4.27,7.98,1648427464549
4.28,7.98,1648427464782
2.83,7.98,1648427464799
2.84,7.98,1648427465032
3.39,7.98,1648427465049
3.4,7.98,1648427465282
3.95,7.98,1648427465299
3.95,7.98,1648427465532
4.5,7.98,1648427465550
4.51,7.98,1648427465782
3.06,7.98,1648427465799
3.07,7.98,1648427466033
3.62,7.98,1648427466050
3.63,7.98,1648427466284
4.18,7.98,1648427466301
4.19,7.98,1648427466535
2.74,7.98,1648427466553
2.75,7.98,1648427466786
3.33,7.98,1648427466804
3.34,7.98,1648427467036
3.89,7.98,1648427467054
3.89,7.98,1648427467287
4.45,7.98,1648427467305
4.45,7.98,1648427467538
3.01,7.98,1648427467556
3.01,7.98,1648427467788
3.56,7.98,1648427467806
3.57,7.98,1648427468039
4.15,7.98,1648427468056
4.16,7.98,1648427468289
2.71,7.98,1648427468307
2.72,7.98,1648427468539
3.27,7.98,1648427468557
3.28,7.98,1648427468790
3.83,7.98,1648427468807
3.84,7.98,1648427469040
4.39,7.98,1648427469057
4.39,7.98,1648427469291
2.95,7.98,1648427469309
2.95,7.98,1648427469541
3.5,7.98,1648427469558
3.51,7.98,1648427469791
4.06,7.98,1648427469808
4.07,7.98,1648427470042
4.62,7.98,1648427470061
4.63,7.98,1648427470293
3.18,7.98,1648427470312
3.19,7.98,1648427470544
3.74,7.98,1648427470563
3.75,7.98,1648427470794
4.3,7.98,1648427470813
4.3,7.98,1648427471045
2.86,7.98,1648427471064
2.86,7.98,1648427471296
3.42,7.98,1648427471313
3.42,7.98,1648427471314
