used, total, date
2.73,5.43,1648430369745
2.76,5.43,1648430370749
4.43,7.98,1648430370789
4.45,7.98,1648430371750
4.64,7.98,1648430371787
4.65,7.98,1648430372755
2.85,7.98,1648430372789
2.86,7.98,1648430373752
3.05,7.98,1648430373789
3.06,7.98,1648430374755
3.25,7.98,1648430374790
3.26,7.98,1648430375756
3.45,7.98,1648430375824
3.46,7.98,1648430376756
3.65,7.98,1648430376787
3.66,7.98,1648430377756
3.88,7.98,1648430377788
3.89,7.98,1648430378756
4.08,7.98,1648430378794
4.09,7.98,1648430379757
4.28,7.98,1648430379821
4.29,7.98,1648430380758
4.51,7.98,1648430380825
4.52,7.98,1648430381759
2.71,7.98,1648430381829
2.72,7.98,1648430382760
2.94,7.98,1648430382824
2.95,7.98,1648430383760
3.14,7.98,1648430383829
3.15,7.98,1648430384761
3.34,7.98,1648430384804
3.35,7.98,1648430385762
3.54,7.98,1648430385829
3.55,7.98,1648430386763
3.74,7.98,1648430386831
3.75,7.98,1648430387764
3.94,7.98,1648430387829
3.95,7.98,1648430388766
4.15,7.98,1648430388833
4.15,7.98,1648430389767
4.34,7.98,1648430389834
4.35,7.98,1648430390769
4.54,7.98,1648430390837
4.55,7.98,1648430391770
2.75,7.98,1648430391835
2.75,7.98,1648430392771
2.95,7.98,1648430392840
2.95,7.98,1648430393772
3.15,7.98,1648430393809
3.15,7.98,1648430394773
3.35,7.98,1648430394832
3.35,7.98,1648430395775
3.55,7.98,1648430395811
3.55,7.98,1648430396776
3.75,7.98,1648430396813
3.75,7.98,1648430397778
3.95,7.98,1648430397819
3.95,7.98,1648430398779
4.15,7.98,1648430398818
4.15,7.98,1648430399780
4.34,7.98,1648430399845
4.35,7.98,1648430400781
4.54,7.98,1648430400845
4.55,7.98,1648430401782
2.75,7.98,1648430401826
2.75,7.98,1648430402783
2.95,7.98,1648430402849
2.95,7.98,1648430403785
3.15,7.98,1648430403818
3.15,7.98,1648430404786
3.35,7.98,1648430404820
3.35,7.98,1648430405788
3.55,7.98,1648430405821
3.55,7.98,1648430406788
3.75,7.98,1648430406825
3.75,7.98,1648430407788
3.95,7.98,1648430407824
3.95,7.98,1648430408790
4.18,7.98,1648430408827
4.18,7.98,1648430409791
4.38,7.98,1648430409826
4.38,7.98,1648430410792
4.58,7.98,1648430410829
4.58,7.98,1648430411793
2.78,7.98,1648430411830
2.79,7.98,1648430412794
2.98,7.98,1648430412830
2.99,7.98,1648430413796
3.18,7.98,1648430413832
3.19,7.98,1648430414798
3.38,7.98,1648430414834
3.39,7.98,1648430415799
3.58,7.98,1648430415833
3.59,7.98,1648430416800
3.78,7.98,1648430416837
3.79,7.98,1648430417802
3.98,7.98,1648430417838
3.99,7.98,1648430418802
4.18,7.98,1648430418854
4.19,7.98,1648430419803
4.38,7.98,1648430419861
4.38,7.98,1648430419861
