used, total, date
2.73,5.43,1648427259790
2.76,5.43,1648427260042
2.77,5.48,1648427260055
2.77,5.48,1648427260292
2.78,5.48,1648427260302
2.78,5.48,1648427260548
2.78,5.48,1648427260550
2.78,5.48,1648427260793
2.78,5.48,1648427260796
2.79,5.48,1648427261044
2.79,5.48,1648427261046
2.79,5.48,1648427261294
2.79,5.48,1648427261297
2.79,5.48,1648427261544
2.79,5.48,1648427261547
2.79,5.48,1648427261795
2.79,5.48,1648427261797
2.79,5.48,1648427262045
2.79,5.48,1648427262048
2.79,5.48,1648427262295
2.79,5.48,1648427262298
2.79,5.48,1648427262547
2.8,5.48,1648427262549
2.8,5.48,1648427262797
2.8,5.48,1648427262800
2.8,5.48,1648427263048
2.8,5.48,1648427263051
2.8,5.48,1648427263298
2.8,5.48,1648427263301
2.8,5.48,1648427263548
2.8,5.48,1648427263551
2.8,5.48,1648427263799
2.8,5.48,1648427263802
2.8,5.48,1648427264049
2.8,5.48,1648427264052
2.8,5.48,1648427264300
2.81,5.48,1648427264302
2.81,5.48,1648427264550
2.81,5.48,1648427264553
2.81,5.48,1648427264800
2.81,5.48,1648427264803
2.81,5.48,1648427265050
2.81,5.48,1648427265053
2.81,5.48,1648427265302
2.81,5.48,1648427265304
2.81,5.48,1648427265552
2.81,5.48,1648427265555
2.81,5.48,1648427265803
2.81,5.48,1648427265805
2.81,5.48,1648427266053
2.82,5.48,1648427266055
2.82,5.48,1648427266303
2.82,5.48,1648427266306
2.82,5.48,1648427266553
2.82,5.48,1648427266556
2.82,5.48,1648427266804
2.82,5.48,1648427266807
2.82,5.48,1648427267056
2.82,5.48,1648427267058
2.82,5.48,1648427267306
2.82,5.48,1648427267309
2.82,5.48,1648427267556
2.82,5.48,1648427267560
2.82,5.48,1648427267806
2.82,5.48,1648427267809
2.07,4.48,1648427268056
2.07,4.48,1648427268059
2.07,4.48,1648427268307
2.07,4.48,1648427268309
2.05,4.48,1648427268557
2.05,4.48,1648427268559
2.05,4.48,1648427268807
2.05,4.48,1648427268810
2.05,4.48,1648427269057
2.05,4.48,1648427269060
2.05,4.48,1648427269308
2.05,4.48,1648427269310
2.05,4.48,1648427269558
2.05,4.48,1648427269561
2.05,4.48,1648427269808
2.05,4.48,1648427269811
2.06,4.48,1648427270059
2.06,4.48,1648427270062
2.06,4.48,1648427270310
2.06,4.48,1648427270313
2.06,4.48,1648427270560
2.06,4.48,1648427270563
2.06,4.48,1648427270811
2.06,4.48,1648427270814
2.06,4.48,1648427271061
2.06,4.48,1648427271064
2.06,4.48,1648427271311
2.06,4.48,1648427271314
2.06,4.48,1648427271561
2.06,4.48,1648427271565
2.07,4.48,1648427271812
2.07,4.48,1648427271816
2.07,4.48,1648427272063
2.07,4.48,1648427272066
2.07,4.48,1648427272313
2.07,4.48,1648427272317
2.07,4.48,1648427272318
