used, total, date
2.75,5.43,1648433714231
2.79,5.43,1648433714249
3.22,7.98,1648433714253
3.22,7.98,1648433714264
3.23,7.98,1648433714266
3.23,7.98,1648433714268
3.23,7.98,1648433714269
3.23,7.98,1648433714269
3.23,7.98,1648433714269
3.23,7.98,1648433714280
3.24,7.98,1648433714280
3.24,7.98,1648433714285
3.24,7.98,1648433714286
3.24,7.98,1648433714295
3.24,7.98,1648433714296
3.24,7.98,1648433714298
3.24,7.98,1648433714299
3.24,7.98,1648433714302
3.24,7.98,1648433714302
3.24,7.98,1648433714319
3.24,7.98,1648433714321
3.24,7.98,1648433714327
3.24,7.98,1648433714328
3.25,7.98,1648433714328
3.25,7.98,1648433714330
3.25,7.98,1648433714330
3.25,7.98,1648433714332
3.25,7.98,1648433714335
3.25,7.98,1648433714336
3.25,7.98,1648433714351
3.25,7.98,1648433714351
3.25,7.98,1648433714358
3.25,7.98,1648433714360
3.25,7.98,1648433714361
3.25,7.98,1648433714363
3.25,7.98,1648433714367
3.25,7.98,1648433714368
3.26,7.98,1648433714377
3.26,7.98,1648433714378
3.26,7.98,1648433714384
3.26,7.98,1648433714386
3.26,7.98,1648433714390
3.26,7.98,1648433714391
3.26,7.98,1648433714392
3.26,7.98,1648433714394
3.26,7.98,1648433714395
3.26,7.98,1648433714396
3.26,7.98,1648433714400
3.26,7.98,1648433714402
3.26,7.98,1648433714417
3.26,7.98,1648433714418
3.27,7.98,1648433714421
3.27,7.98,1648433714423
3.27,7.98,1648433714423
3.27,7.98,1648433714425
3.27,7.98,1648433714425
3.27,7.98,1648433714428
3.27,7.98,1648433714433
3.27,7.98,1648433714434
3.27,7.98,1648433714436
3.27,7.98,1648433714437
3.27,7.98,1648433714449
3.27,7.98,1648433714451
3.27,7.98,1648433714451
3.27,7.98,1648433714453
3.27,7.98,1648433714453
3.28,7.98,1648433714454
3.28,7.98,1648433714465
3.28,7.98,1648433714466
3.28,7.98,1648433714469
3.28,7.98,1648433714469
3.28,7.98,1648433714470
3.28,7.98,1648433714470
3.28,7.98,1648433714474
3.28,7.98,1648433714476
3.28,7.98,1648433714481
3.28,7.98,1648433714482
3.28,7.98,1648433714483
3.28,7.98,1648433714483
3.28,7.98,1648433714485
3.28,7.98,1648433714486
3.29,7.98,1648433714497
3.29,7.98,1648433714497
3.29,7.98,1648433714513
3.29,7.98,1648433714514
3.29,7.98,1648433714514
3.29,7.98,1648433714514
3.29,7.98,1648433714517
3.29,7.98,1648433714518
3.29,7.98,1648433714523
3.29,7.98,1648433714526
3.29,7.98,1648433714529
3.29,7.98,1648433714530
3.29,7.98,1648433714545
3.29,7.98,1648433714545
3.3,7.98,1648433714546
3.3,7.98,1648433714547
3.3,7.98,1648433714548
3.3,7.98,1648433714550
3.3,7.98,1648433714557
3.3,7.98,1648433714558
3.3,7.98,1648433714558
