used, total, date
2.74,5.43,1648432139176
2.77,5.43,1648432139678
3.02,7.98,1648432139715
3.04,7.98,1648432140179
3.78,7.98,1648432140223
3.8,7.98,1648432140688
4.57,7.98,1648432140748
4.59,7.98,1648432141180
3.33,7.98,1648432141250
3.34,7.98,1648432141681
4.08,7.98,1648432141718
4.09,7.98,1648432142182
2.83,7.98,1648432142247
2.85,7.98,1648432142682
3.59,7.98,1648432142748
3.6,7.98,1648432143183
4.34,7.98,1648432143248
4.35,7.98,1648432143683
3.09,7.98,1648432143749
3.11,7.98,1648432144183
3.85,7.98,1648432144251
3.86,7.98,1648432144684
4.6,7.98,1648432144720
4.61,7.98,1648432145184
3.35,7.98,1648432145254
3.37,7.98,1648432145686
4.1,7.98,1648432145752
4.12,7.98,1648432146187
2.86,7.98,1648432146229
2.87,7.98,1648432146688
3.61,7.98,1648432146755
3.62,7.98,1648432147188
4.36,7.98,1648432147256
4.38,7.98,1648432147688
3.12,7.98,1648432147759
3.13,7.98,1648432148190
3.87,7.98,1648432148256
3.88,7.98,1648432148690
4.62,7.98,1648432148758
4.64,7.98,1648432149191
3.38,7.98,1648432149260
3.39,7.98,1648432149691
4.13,7.98,1648432149757
4.14,7.98,1648432150192
2.88,7.98,1648432150258
2.9,7.98,1648432150692
3.64,7.98,1648432150730
3.65,7.98,1648432151192
4.39,7.98,1648432151258
4.4,7.98,1648432151693
3.14,7.98,1648432151760
3.16,7.98,1648432152194
3.9,7.98,1648432152263
3.91,7.98,1648432152694
4.65,7.98,1648432152760
4.66,7.98,1648432153195
3.4,7.98,1648432153263
3.42,7.98,1648432153696
4.15,7.98,1648432153735
4.17,7.98,1648432154196
2.91,7.98,1648432154263
2.92,7.98,1648432154697
3.66,7.98,1648432154734
3.67,7.98,1648432155197
4.41,7.98,1648432155265
4.43,7.98,1648432155698
3.17,7.98,1648432155734
3.18,7.98,1648432156199
3.92,7.98,1648432156263
3.93,7.98,1648432156700
4.67,7.98,1648432156737
4.68,7.98,1648432157201
3.43,7.98,1648432157270
3.44,7.98,1648432157702
4.18,7.98,1648432157738
4.19,7.98,1648432158203
2.93,7.98,1648432158271
2.95,7.98,1648432158704
3.68,7.98,1648432158771
3.7,7.98,1648432159204
4.44,7.98,1648432159271
4.45,7.98,1648432159706
3.19,7.98,1648432159743
3.2,7.98,1648432160207
3.94,7.98,1648432160274
3.96,7.98,1648432160708
4.69,7.98,1648432160776
4.71,7.98,1648432161208
3.45,7.98,1648432161245
3.46,7.98,1648432161708
4.2,7.98,1648432161745
4.22,7.98,1648432162208
2.96,7.98,1648432162278
2.97,7.98,1648432162709
3.71,7.98,1648432162747
3.72,7.98,1648432163210
4.46,7.98,1648432163279
4.48,7.98,1648432163710
3.25,7.98,1648432163751
3.26,7.98,1648432164210
4,7.98,1648432164279
4,7.98,1648432164279
