used, total, date
2.75,5.68,1648429362377
2.79,5.68,1648429362630
2.8,5.73,1648429362644
2.8,5.73,1648429362880
2.8,5.73,1648429362891
2.81,5.73,1648429363136
2.81,5.73,1648429363138
2.81,5.73,1648429363380
2.81,5.73,1648429363384
2.81,5.73,1648429363630
2.81,5.73,1648429363633
2.81,5.73,1648429363880
2.81,5.73,1648429363883
2.81,5.73,1648429364131
2.81,5.73,1648429364134
2.81,5.73,1648429364382
2.81,5.73,1648429364385
2.82,5.73,1648429364632
2.82,5.73,1648429364635
2.82,5.73,1648429364883
2.82,5.73,1648429364885
2.82,5.73,1648429365133
2.82,5.73,1648429365135
2.82,5.73,1648429365383
2.82,5.73,1648429365386
2.82,5.73,1648429365633
2.82,5.73,1648429365636
2.82,5.73,1648429365884
2.82,5.73,1648429365886
2.82,5.73,1648429366134
2.82,5.73,1648429366137
2.83,5.73,1648429366384
2.83,5.73,1648429366387
2.83,5.73,1648429366635
2.83,5.73,1648429366637
2.83,5.73,1648429366886
2.83,5.73,1648429366889
2.83,5.73,1648429367136
2.83,5.73,1648429367139
2.83,5.73,1648429367387
2.83,5.73,1648429367390
2.83,5.73,1648429367637
2.83,5.73,1648429367640
2.83,5.73,1648429367888
2.83,5.73,1648429367890
2.84,5.73,1648429368138
2.84,5.73,1648429368141
2.84,5.73,1648429368388
2.84,5.73,1648429368391
2.84,5.73,1648429368639
2.84,5.73,1648429368641
2.84,5.73,1648429368890
2.84,5.73,1648429368893
2.84,5.73,1648429369140
2.84,5.73,1648429369143
2.84,5.73,1648429369390
2.84,5.73,1648429369393
2.84,5.73,1648429369642
2.84,5.73,1648429369644
2.84,5.73,1648429369892
2.85,5.73,1648429369895
2.85,5.73,1648429370142
2.85,5.73,1648429370145
2.85,5.73,1648429370393
2.85,5.73,1648429370395
2.05,4.23,1648429370644
2.06,4.23,1648429370646
2.06,4.23,1648429370894
2.06,4.23,1648429370896
2.05,4.48,1648429371144
2.05,4.48,1648429371147
2.05,4.48,1648429371395
2.05,4.48,1648429371397
2.05,4.48,1648429371645
2.05,4.48,1648429371648
2.05,4.48,1648429371895
2.05,4.48,1648429371898
2.05,4.48,1648429372147
2.05,4.48,1648429372150
2.05,4.48,1648429372397
2.06,4.48,1648429372400
2.06,4.48,1648429372648
2.06,4.48,1648429372650
2.06,4.48,1648429372898
2.06,4.48,1648429372901
2.06,4.48,1648429373148
2.06,4.48,1648429373151
2.06,4.48,1648429373400
2.06,4.48,1648429373402
2.06,4.48,1648429373650
2.06,4.48,1648429373653
2.06,4.48,1648429373900
2.06,4.48,1648429373903
2.06,4.48,1648429374151
2.06,4.48,1648429374153
2.07,4.48,1648429374401
2.07,4.48,1648429374403
2.07,4.48,1648429374651
2.07,4.48,1648429374654
2.07,4.48,1648429374902
2.07,4.48,1648429374904
2.07,4.48,1648429374905
