used, total, date
2.73,5.43,1648430976633
2.76,5.43,1648430977136
3.12,7.98,1648430977153
3.13,7.98,1648430977636
3.13,7.98,1648430977648
3.13,7.98,1648430978143
3.13,7.98,1648430978146
3.14,7.98,1648430978637
3.14,7.98,1648430978639
3.14,7.98,1648430979138
3.14,7.98,1648430979141
3.14,7.98,1648430979639
3.14,7.98,1648430979641
3.14,7.98,1648430980140
3.14,7.98,1648430980143
3.14,7.98,1648430980640
3.14,7.98,1648430980643
3.14,7.98,1648430981140
3.15,7.98,1648430981144
3.15,7.98,1648430981640
3.15,7.98,1648430981643
3.15,7.98,1648430982140
3.15,7.98,1648430982143
3.15,7.98,1648430982641
3.15,7.98,1648430982644
3.15,7.98,1648430983141
3.15,7.98,1648430983144
3.15,7.98,1648430983641
3.15,7.98,1648430983644
3.15,7.98,1648430984141
3.15,7.98,1648430984144
3.15,7.98,1648430984642
3.16,7.98,1648430984645
2.05,4.23,1648430985143
2.05,4.23,1648430985146
2.04,4.23,1648430985643
2.04,4.23,1648430985645
2.04,4.23,1648430986143
2.04,4.23,1648430986146
2.05,4.23,1648430986643
2.05,4.23,1648430986647
2.05,4.23,1648430987144
2.05,4.23,1648430987146
2.05,4.23,1648430987644
2.05,4.23,1648430987647
2.05,4.23,1648430988145
2.05,4.23,1648430988148
2.05,4.23,1648430988645
2.05,4.23,1648430988648
2.05,4.23,1648430989146
2.05,4.23,1648430989148
2.05,4.23,1648430989647
2.05,4.23,1648430989649
2.05,4.23,1648430990146
2.06,4.23,1648430990150
2.06,4.23,1648430990646
2.06,4.23,1648430990648
2.06,4.23,1648430991147
2.06,4.23,1648430991149
2.06,4.23,1648430991647
2.06,4.23,1648430991650
2.06,4.23,1648430992148
2.06,4.23,1648430992151
2.06,4.23,1648430992648
2.06,4.23,1648430992651
2.06,4.23,1648430993150
2.06,4.23,1648430993153
2.06,4.23,1648430993651
2.06,4.23,1648430993654
2.07,4.23,1648430994152
2.07,4.23,1648430994154
2.07,4.23,1648430994652
2.07,4.23,1648430994655
2.07,4.23,1648430995152
2.07,4.23,1648430995155
2.07,4.23,1648430995653
2.07,4.23,1648430995656
2.07,4.23,1648430996153
2.07,4.23,1648430996156
2.07,4.23,1648430996654
2.07,4.23,1648430996657
2.07,4.23,1648430997155
2.07,4.23,1648430997158
2.07,4.23,1648430997656
2.08,4.23,1648430997659
2.08,4.23,1648430998156
2.08,4.23,1648430998159
2.08,4.23,1648430998657
2.08,4.23,1648430998660
2.08,4.23,1648430999157
2.08,4.23,1648430999160
2.08,4.23,1648430999658
2.08,4.23,1648430999661
2.08,4.23,1648431000158
2.08,4.23,1648431000162
2.08,4.23,1648431000659
2.08,4.23,1648431000661
2.08,4.23,1648431001159
2.09,4.23,1648431001162
2.09,4.23,1648431001659
2.09,4.23,1648431001662
2.09,4.23,1648431001662
