used, total, date
2.73,5.43,1648433706672
2.77,5.43,1648433706687
3.88,7.98,1648433706714
3.89,7.98,1648433706715
4.61,7.98,1648433706726
4.61,7.98,1648433706728
4.38,7.98,1648433706746
4.38,7.98,1648433706746
4.6,7.98,1648433706769
4.61,7.98,1648433706769
4.64,7.98,1648433706778
4.64,7.98,1648433706778
4.02,7.98,1648433706785
4.02,7.98,1648433706785
3.12,7.98,1648433706786
3.12,7.98,1648433706786
4.14,7.98,1648433706809
4.15,7.98,1648433706809
4.41,7.98,1648433706838
4.41,7.98,1648433706838
4.18,7.98,1648433706843
4.18,7.98,1648433706843
4.18,7.98,1648433706846
4.18,7.98,1648433706846
4.49,7.98,1648433706851
4.5,7.98,1648433706851
4.13,7.98,1648433706882
4.13,7.98,1648433706882
4.55,7.98,1648433706892
4.55,7.98,1648433706892
3.77,7.98,1648433706895
3.77,7.98,1648433706895
4.58,7.98,1648433706909
4.6,7.98,1648433706909
4.67,7.98,1648433706927
4.67,7.98,1648433706927
4.69,7.98,1648433706949
4.7,7.98,1648433706949
3.6,7.98,1648433706958
3.61,7.98,1648433706958
4.31,7.98,1648433706983
4.34,7.98,1648433706983
4.44,7.98,1648433706983
4.44,7.98,1648433706983
4.31,7.98,1648433706993
4.31,7.98,1648433706993
4.52,7.98,1648433707025
4.52,7.98,1648433707025
4.21,7.98,1648433707055
4.21,7.98,1648433707055
4.27,7.98,1648433707064
4.31,7.98,1648433707064
4.33,7.98,1648433707069
4.33,7.98,1648433707069
4.69,7.98,1648433707077
4.69,7.98,1648433707078
2.92,7.98,1648433707093
2.92,7.98,1648433707093
3.11,7.98,1648433707115
3.11,7.98,1648433707115
3.46,7.98,1648433707147
3.46,7.98,1648433707147
2.87,7.98,1648433707174
2.91,7.98,1648433707174
2.75,7.98,1648433707179
2.76,7.98,1648433707179
3.15,7.98,1648433707181
3.15,7.98,1648433707181
4.71,7.98,1648433707191
2.72,7.98,1648433707191
3.01,7.98,1648433707192
3.01,7.98,1648433707192
4.09,7.98,1648433707193
4.09,7.98,1648433707193
4.21,7.98,1648433707219
4.21,7.98,1648433707219
4.54,7.98,1648433707242
4.56,7.98,1648433707242
3.51,7.98,1648433707272
3.51,7.98,1648433707272
4.22,7.98,1648433707297
4.22,7.98,1648433707297
2.77,7.98,1648433707330
2.77,7.98,1648433707330
4.26,7.98,1648433707346
4.26,7.98,1648433707346
2.78,7.98,1648433707350
2.82,7.98,1648433707350
3.4,7.98,1648433707381
3.4,7.98,1648433707381
3.09,7.98,1648433707407
3.09,7.98,1648433707407
3.78,7.98,1648433707412
3.79,7.98,1648433707412
4.05,7.98,1648433707422
4.05,7.98,1648433707422
3.77,7.98,1648433707445
3.81,7.98,1648433707445
3.74,7.98,1648433707476
3.74,7.98,1648433707476
3.13,7.98,1648433707493
3.14,7.98,1648433707493
