used, total, date
2.73,5.43,1648430269972
2.76,5.43,1648430270475
4.39,7.98,1648430270544
4.4,7.98,1648430270976
4.6,7.98,1648430271042
4.61,7.98,1648430271483
2.81,7.98,1648430271537
2.82,7.98,1648430271977
3.01,7.98,1648430272042
3.02,7.98,1648430272477
3.21,7.98,1648430272535
3.22,7.98,1648430272979
3.41,7.98,1648430273058
3.42,7.98,1648430273479
3.61,7.98,1648430273543
3.62,7.98,1648430273980
3.81,7.98,1648430274044
3.82,7.98,1648430274480
4.01,7.98,1648430274538
4.02,7.98,1648430274980
4.21,7.98,1648430275047
4.22,7.98,1648430275481
4.41,7.98,1648430275547
4.42,7.98,1648430275982
4.61,7.98,1648430276046
4.62,7.98,1648430276482
2.81,7.98,1648430276553
2.82,7.98,1648430276983
3.01,7.98,1648430277046
3.02,7.98,1648430277483
3.21,7.98,1648430277550
3.22,7.98,1648430277984
3.41,7.98,1648430278018
3.42,7.98,1648430278485
3.64,7.98,1648430278519
3.65,7.98,1648430278985
3.87,7.98,1648430279049
3.88,7.98,1648430279486
4.07,7.98,1648430279553
4.08,7.98,1648430279986
4.27,7.98,1648430280053
4.28,7.98,1648430280486
4.47,7.98,1648430280517
4.48,7.98,1648430280986
4.67,7.98,1648430281027
4.68,7.98,1648430281487
2.9,7.98,1648430281552
2.91,7.98,1648430281988
3.14,7.98,1648430282051
3.14,7.98,1648430282488
3.34,7.98,1648430282522
3.34,7.98,1648430282989
3.54,7.98,1648430283024
3.54,7.98,1648430283490
3.74,7.98,1648430283570
3.74,7.98,1648430283991
3.94,7.98,1648430284058
3.94,7.98,1648430284491
4.13,7.98,1648430284532
4.14,7.98,1648430284993
4.33,7.98,1648430285059
4.34,7.98,1648430285494
4.53,7.98,1648430285536
4.54,7.98,1648430285995
2.74,7.98,1648430286058
2.74,7.98,1648430286496
2.94,7.98,1648430286565
2.94,7.98,1648430286996
3.14,7.98,1648430287062
3.14,7.98,1648430287498
3.34,7.98,1648430287565
3.34,7.98,1648430287998
3.54,7.98,1648430288065
3.54,7.98,1648430288499
3.74,7.98,1648430288566
3.74,7.98,1648430288999
3.97,7.98,1648430289066
3.97,7.98,1648430289499
4.17,7.98,1648430289535
4.17,7.98,1648430290000
4.4,7.98,1648430290047
4.4,7.98,1648430290500
4.6,7.98,1648430290563
4.6,7.98,1648430291001
2.8,7.98,1648430291065
2.81,7.98,1648430291501
3,7.98,1648430291567
3.01,7.98,1648430292002
3.2,7.98,1648430292066
3.21,7.98,1648430292502
3.4,7.98,1648430292567
3.41,7.98,1648430293003
3.63,7.98,1648430293070
3.64,7.98,1648430293503
3.83,7.98,1648430293569
3.84,7.98,1648430294003
4.06,7.98,1648430294067
4.07,7.98,1648430294504
4.26,7.98,1648430294572
4.27,7.98,1648430295005
4.46,7.98,1648430295070
4.46,7.98,1648430295070
